artist_id,name,popularity_rating,genre,country_code
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,67,british soul,GB
4x1nvY2FN8jxqAFA0DA02H,John Lennon,72,classic rock,GB
2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,58,experimental,GB
5D5J2cMoaGHFaipckBl5xZ,Vienna Boys' Choir,39,austrian choir,GB
12EtLdLfJ41vUOoVzPZIUy,Girls Aloud,55,europop,GB
1dfeR4HaWDbWqFHLkxsg1d,Queen,86,classic rock,GB
2wzMOQwNT6ZvVB4amvhFAH,The Pogues,60,celtic punk,GB
6UlNIFEuWlBqb4TvlVCekq,Kirsty MacColl,55,new wave pop,GB
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,74,classic rock,GB
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,74,adult standards,GB
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,79,adult standards,GB
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,81,dance pop,GB
32WkQRZEVKSzVAAYqukAEA,Lady A,68,contemporary country,GB
6Uw88LgaxdanDItfR0JyJ8,Greg Lake,34,progressive rock,GB
6lOC7lwSO1ql4Gc2Y3QObY,East 17,47,boy band,GB
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,90,alt z,IT
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,art pop,IT
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,dance pop,IT
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,81,bedroom pop,IT
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",95,hip hop,IT
2qoQgPAilErOKCwE2Y8wOG,GloRilla,82,southern hip hop,IT
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,80,trap queen,IT
55Aa2cqylxrFIXC767Z865,Lil Wayne,88,hip hop,IT
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,canadian contemporary r&b,IT
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,art pop,IT
1oSPZhvZMIrWW5I41kPkkY,Jimin,89,k-pop,IT
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,pop,IT
3eVa5w3URK5duf6eyVDbu9,ROSÉ,84,k-pop,IT
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,canadian contemporary r&b,IT
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,atl hip hop,IT
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,indie pop,IT
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,colombian pop,IT
67FB4n52MgexGQIG8s0yUH,Lola Young,74,uk pop,IT
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,modern country pop,IT
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,87,corrido,IT
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,corrido,IT
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,IT
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,IT
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,singer-songwriter pop,IT
4IMgqWorWJUqUlbULGdoBa,Youssif Elashry,54,egyptian viral pop,EG
2KJgliIl1dMyeOMyCcnYv7,Bahaa Sultan,59,arab pop,EG
7yBuSjd5Z3w7acodk51evR,Afroto,60,egyptian hip hop,EG
5CSaIf8OAstAYE5oqQeS15,Magdy El Zahar,58,egyptian viral pop,EG
3mUUUQDWnVlttF1yERxmPQ,Ilmond,60,egyptian trap,EG
5764EiAfWT26wi1CdLcnwz,Shehab,58,egyptian hip hop,EG
5QKGejJMncXUNUb9pUFbEf,TUL8TE,64,egyptian trap,EG
5rCq30EbJ3DfZPKybGZj8F,Tamer Ashour,64,arab pop,EG
2PM82jOCB674w4BL08zFVS,Muslim - مُسلِم,62,egyptian alternative,EG
3gCqbhXmiSto3R8U9YZcZM,Reda El Bahrawy,56,shaabi,EG
5HczG7gdd89oDKY0CUyPof,Wael Jassar,60,arab pop,EG
25P1GMgHepq6rkzRwg2DcB,Eslam Kabonga,60,mahraganat,EG
5LtHZB7vU02HtNoOzNcVhc,Ramy Sabry,63,arab pop,EG
4BKC2HOGEqtYz2Xbgp9N1q,Wegz,61,egyptian hip hop,EG
6bb9VI1PpPTEmdgcgjTppX,Mohamed Hamaki,61,arab pop,EG
0IiR4LJwslf6HBSdk9W3Dg,Angham,59,arab pop,EG
2GVksDv9UpY60i4CvytrZK,Cairokee,62,arab alternative,EG
2yV4zQzvNPMyHncf60u9sr,Lella Fadda,47,egyptian alternative,EG
4o6vIkdmHiEXZOesrJj3KO,Abyusif,56,egyptian hip hop,EG
2iToE4LH0W9zs4hVw3A7m6,Mahmoud El Leithy,57,arab pop,EG
2KjiHtx0h8tyJXbg8aYRgu,Essam Sasa,65,egyptian pop,EG
5OaC42gxOxSYgfmmSxe672,Farid,50,arab pop,EG
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,90,alt z,NG
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,art pop,NG
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,dance pop,NG
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,81,bedroom pop,NG
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",95,hip hop,NG
2qoQgPAilErOKCwE2Y8wOG,GloRilla,82,southern hip hop,NG
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,80,trap queen,NG
55Aa2cqylxrFIXC767Z865,Lil Wayne,88,hip hop,NG
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,canadian contemporary r&b,NG
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,art pop,NG
1oSPZhvZMIrWW5I41kPkkY,Jimin,89,k-pop,NG
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,pop,NG
3eVa5w3URK5duf6eyVDbu9,ROSÉ,84,k-pop,NG
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,canadian contemporary r&b,NG
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,atl hip hop,NG
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,indie pop,NG
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,colombian pop,NG
67FB4n52MgexGQIG8s0yUH,Lola Young,74,uk pop,NG
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,modern country pop,NG
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,87,corrido,NG
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,corrido,NG
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,NG
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,NG
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,singer-songwriter pop,NG
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,AU
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,83,contemporary country,AU
